Ligand,Ordem,Affinity,Positivos,Decoys,Tdecoys,Tpositivos,FracDocada,FracPositivos,,Conc(P),Fator Enriquecimento,FracDocada,positivos/total = ,"0,0204865557"
4iodo-4tetrahydroacridindecoy38,167,"-9,7",0,1,158,9,"0,2138","0,563",,"0,054","2,6306","0,2138",,
Tolserinedecoy5,168,"-9,7",0,1,159,9,"0,2151","0,563",,"0,054","2,6149","0,2151",,
Tolserinedecoy24,169,"-9,7",0,1,160,9,"0,2164","0,563",,"0,053","2,5994","0,2164",,
4iodo-4tetrahydroacridindecoy32,170,"-9,7",0,1,161,9,"0,2177","0,563",,"0,053","2,5841","0,2177",,
2iodo-4tetrahydroacridindecoy40,171,"-9,7",0,1,162,9,"0,2190","0,563",,"0,053","2,5690","0,2190",,
4iodo-3tetrahydroacridindecoy15,172,"-9,7",0,1,163,9,"0,2202","0,563",,"0,052","2,5541","0,2202",,
4iodo-2tetrahydroacridindecoy45,173,"-9,6",0,1,164,9,"0,2215","0,563",,"0,052","2,5393","0,2215",,
2iodo-4tetrahydroacridindecoy33,174,"-9,6",0,1,165,9,"0,2228","0,563",,"0,052","2,5247","0,2228",,
2iodo-2tetrahydroacridindecoy41,175,"-9,6",0,1,166,9,"0,2241","0,563",,"0,051","2,5103","0,2241",,
Bis-tacrinedecoy40,176,"-9,6",0,1,167,9,"0,2254","0,563",,"0,051","2,4960","0,2254",,
2iodo-4tetrahydroacridindecoy26,177,"-9,6",0,1,168,9,"0,2266","0,563",,"0,051","2,4819","0,2266",,
2iodo-3tetrahydroacridindecoy41,178,"-9,6",0,1,169,9,"0,2279","0,563",,"0,051","2,4680","0,2279",,
2iodo-4tetrahydroacridindecoy44,179,"-9,6",0,1,170,9,"0,2292","0,563",,"0,050","2,4542","0,2292",,
2iodo-3tetrahydroacridindecoy6,180,"-9,6",0,1,171,9,"0,2305","0,563",,"0,050","2,4406","0,2305",,
Bis-tacrinedecoy7,181,"-9,6",0,1,172,9,"0,2318","0,563",,"0,050","2,4271","0,2318",,
2iodo-2tetrahydroacridindecoy29,182,"-9,6",0,1,173,9,"0,2330","0,563",,"0,049","2,4138","0,2330",,
Tacrinedecoy3,183,"-9,6",0,1,174,9,"0,2343","0,563",,"0,049","2,4006","0,2343",,
4iodo-2tetrahydroacridindecoy29,184,"-9,6",0,1,175,9,"0,2356","0,563",,"0,049","2,3875","0,2356",,
Heptyl-physostigminedecoy43,185,"-9,6",0,1,176,9,"0,2369","0,563",,"0,049","2,3746","0,2369",,
4iodo-4tetrahydroacridindecoy31,186,"-9,6",0,1,177,9,"0,2382","0,563",,"0,048","2,3618","0,2382",,
4iodo-3tetrahydroacridindecoy22,187,"-9,6",0,1,178,9,"0,2394","0,563",,"0,048","2,3492","0,2394",,
4iodo-2tetrahydroacridindecoy7,188,"-9,6",0,1,179,9,"0,2407","0,563",,"0,048","2,3367","0,2407",,
4iodo-2tetrahydroacridindecoy31,189,"-9,6",0,1,180,9,"0,2420","0,563",,"0,048","2,3244","0,2420",,
Heptyl-physostigminedecoy19,190,"-9,5",0,1,181,9,"0,2433","0,563",,"0,047","2,3121","0,2433",,
4iodo-2tetrahydroacridindecoy38,191,"-9,5",0,1,182,9,"0,2446","0,563",,"0,047","2,3000","0,2446",,
Bis-tacrinedecoy5,192,"-9,5",0,1,183,9,"0,2458","0,563",,"0,047","2,2880","0,2458",,
4iodo-2tetrahydroacridindecoy19,193,"-9,5",0,1,184,9,"0,2471","0,563",,"0,047","2,2762","0,2471",,
Bis-tacrinedecoy2,194,"-9,5",0,1,185,9,"0,2484","0,563",,"0,046","2,2644","0,2484",,
3iodo-2tetrahydroacridindecoy2,195,"-9,5",0,1,186,9,"0,2497","0,563",,"0,046","2,2528","0,2497",,
3iodo-2tetrahydroacridindecoy30,196,"-9,5",0,1,187,9,"0,2510","0,563",,"0,046","2,2413","0,2510",,
Tolserinedecoy44,197,"-9,5",0,1,188,9,"0,2522","0,563",,"0,046","2,2300","0,2522",,
4iodo-4tetrahydroacridindecoy11,198,"-9,5",0,1,189,9,"0,2535","0,563",,"0,045","2,2187","0,2535",,
2iodo-2tetrahydroacridindecoy19,199,"-9,5",0,1,190,9,"0,2548","0,563",,"0,045","2,2076","0,2548",,
4iodo-2tetrahydroacridindecoy5,200,"-9,5",0,1,191,9,"0,2561","0,563",,"0,045","2,1965","0,2561",,
Heptyl-physostigminedecoy10,201,"-9,5",0,1,192,9,"0,2574","0,563",,"0,045","2,1856","0,2574",,
4iodo-3tetrahydroacridindecoy21,202,"-9,5",0,1,193,9,"0,2586","0,563",,"0,045","2,1748","0,2586",,
3iodo-2tetrahydroacridindecoy44,203,"-9,5",0,1,194,9,"0,2599","0,563",,"0,044","2,1641","0,2599",,
2iodo-3tetrahydroacridin,204,"-9,5",1,0,194,10,"0,2612","0,625",,"0,049","2,3927","0,2612",,
4iodo-2tetrahydroacridindecoy10,205,"-9,5",0,1,195,10,"0,2625","0,625",,"0,049","2,3810","0,2625",,
Heptyl-physostigminedecoy21,206,"-9,5",0,1,196,10,"0,2638","0,625",,"0,049","2,3695","0,2638",,
Heptyl-physostigminedecoy24,207,"-9,5",0,1,197,10,"0,2650","0,625",,"0,048","2,3580","0,2650",,
4iodo-2tetrahydroacridindecoy26,208,"-9,5",0,1,198,10,"0,2663","0,625",,"0,048","2,3467","0,2663",,
Bis-tacrinedecoy50,209,"-9,5",0,1,199,10,"0,2676","0,625",,"0,048","2,3355","0,2676",,
3iodo-4tetrahydroacridindecoy46,210,"-9,5",0,1,200,10,"0,2689","0,625",,"0,048","2,3244","0,2689",,
2iodo-2tetrahydroacridindecoy22,211,"-9,4",0,1,201,10,"0,2702","0,625",,"0,047","2,3133","0,2702",,
Bis-tacrinedecoy13,212,"-9,4",0,1,202,10,"0,2714","0,625",,"0,047","2,3024","0,2714",,
Donepezildecoy24,213,"-9,4",0,1,203,10,"0,2727","0,625",,"0,047","2,2916","0,2727",,
2iodo-4tetrahydroacridindecoy23,214,"-9,4",0,1,204,10,"0,2740","0,625",,"0,047","2,2809","0,2740",,
3iodo-4tetrahydroacridindecoy7,215,"-9,4",0,1,205,10,"0,2753","0,625",,"0,047","2,2703","0,2753",,
2iodo-3tetrahydroacridindecoy24,216,"-9,4",0,1,206,10,"0,2766","0,625",,"0,046","2,2598","0,2766",,
2iodo-2tetrahydroacridindecoy31,217,"-9,4",0,1,207,10,"0,2778","0,625",,"0,046","2,2494","0,2778",,
Donepezildecoy49,218,"-9,4",0,1,208,10,"0,2791","0,625",,"0,046","2,2391","0,2791",,
Donepezildecoy14,219,"-9,4",0,1,209,10,"0,2804","0,625",,"0,046","2,2288","0,2804",,
