,A,B,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,D,E,F,G,H,I,J
ZINC14590585,0.57985034386668,0.343748018611978,0.447108933378711,0.46882516353552,0.484222228413751,0.402986394778386,0.593342681863278,0.530790028022928,0.5429013785944,0.639353742761071,0.413421070165179,0.537246722743227,0.534550263465296,0.324557949109638,0.717172766924167,0.296969164408674,0.530375504100265,0.61154852803554,0.664384742781334,0.390317200040049
ZINC14588411,0.618506696850815,0.561644882541546,0.626144937758416,0.67879614373526,0.828348005442885,0.627979423072526,0.752424977157772,0.78333417080707,0.637858588556152,0.739320282697481,0.719841517767359,0.662422490163484,0.748626764981077,0.27629160495419,0.634189831720721,0.517411601065376,0.67176878055332,0.73765518305677,0.699349450630343,0.316204174754349
ZINC143826668,0.744031907233049,0.529282559877534,0.811792692954085,0.857151223117123,0.81690665088418,0.780475322871716,0.815036766093501,0.690242527357961,0.637972667633598,0.67017212428439,0.655422372445336,0.719156959167856,0.800730798245234,0.375092846858969,0.671435680061018,0.472784175294248,0.820719983472091,0.697017547664369,0.655282151685092,0.466774464111148
ZINC141880133,0.614902376779161,0.526572119776571,0.5943415629363,0.649492123192236,0.791440049175491,0.593901553779733,0.741049419826212,0.755920951589965,0.616302654615717,0.764275862228395,0.692071539337022,0.651385149577381,0.705953637177218,0.271540837239654,0.650488855323524,0.480474751927474,0.64296746081371,0.738030496733366,0.710088455931067,0.311753687491841
ZINC139054025,0.471562846052712,0.660583745366382,0.431186427698414,0.505206421438468,0.673687076991372,0.41323542223035,0.58522874190633,0.727871538542007,0.72840431995155,0.720320732359647,0.786346407381834,0.699643539817025,0.596922239262809,0.372428051277869,0.553622505993529,0.63636957175329,0.490828529613926,0.558077502217137,0.509388392183197,0.314271953036044
ZINC13373002,0.447635531622917,0.654513800745641,0.431848870681656,0.514788293510418,0.613772236427824,0.439527252977724,0.561612356607199,0.631790574005399,0.614437758420802,0.665741928854606,0.734161736553005,0.628780559750864,0.533308509719914,0.366598382556454,0.529126132747751,0.60303778258032,0.495188955777078,0.515951900779946,0.395686054377479,0.271803706108507
ZINC1063075,0.657771038177933,0.53169704538088,0.681331841230252,0.722898431420519,0.742252915373412,0.677187526543058,0.75215985907228,0.779334503623975,0.649158220579166,0.72008817976936,0.612459288400118,0.669387468202892,0.815342773105371,0.307036254721733,0.669033315883199,0.466949483781473,0.729036111025926,0.849835690014101,0.756258540561733,0.350162208032882
ZINC104883029,0.566189195706026,0.626600746163927,0.533910617752563,0.61224052666282,0.753341272869116,0.513874050490639,0.661632975888725,0.680393775649514,0.734037034370095,0.708541603498627,0.845103585289318,0.777850628195604,0.62284940478989,0.467432390888161,0.588000115735068,0.584088086549849,0.573503039959034,0.561387988048426,0.495128056872303,0.430203002793987
ZINC104876494,0.698555567873749,0.58925235418242,0.70412787641851,0.75848199700567,0.706588689828783,0.660986885761735,0.687592192511127,0.627882566162668,0.672753310081028,0.629234795482903,0.678899085634685,0.734276689814509,0.668400049220625,0.524580254610862,0.60817644655518,0.531964674898125,0.711135648423402,0.570622817457704,0.497882823482795,0.548664746211383
ZINC100780735,0.626957131832286,0.674843704833061,0.659033710368642,0.725992209336485,0.761145407310324,0.641823825015087,0.702614185709934,0.67798674607678,0.667387317811656,0.663963157504412,0.75723426495904,0.74065974723734,0.697307290681811,0.439113861413438,0.601553550495509,0.618105751967569,0.694978325317311,0.594939788968169,0.508862489348771,0.464171257474106
ZINC100191743 ,0.655603026835009,0.500715203617858,0.766642466409752,0.796026951871304,0.787134652682026,0.806043882533164,0.736109552792098,0.683517473442548,0.5273339489367,0.629604635642846,0.601113080836443,0.600681742665116,0.767853184768908,0.23335732825349,0.585828042893816,0.444717578568826,0.75805997933626,0.735933880927579,0.671269820257559,0.327756724126846
ZINC100086523,0.721177348415412,0.520841918331065,0.704772538429772,0.749004920718296,0.681656105283316,0.651039422312575,0.677485388907382,0.592504326386208,0.639713103167517,0.620005958130369,0.6226715445271,0.724747490116222,0.64116775942246,0.50612041527382,0.609760735226461,0.466322540077749,0.701236601123905,0.551080671851348,0.49999645466511,0.565174527867138
